FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,12248148,Every birthday my office buys me cake but I don't eat cake,I ate less gluten which is harder than it sounds,"What has really helped is: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",My friend told me about another friend who said that:  superior focus,I can’t think of any right now,10/1/2019,2359
Autistica - Adjustments,7,14567809,We had an overnight hackathon and there were not enough vegan options,I enjoyed my work this week,What has really helped is: Access to other job opportunities within the company,I read a newspaper article about: a cyber hacker,I think there should be more research in to employment opportunities,10/1/2019,2360
Autistica - Adjustments,7,53779464,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I changed the way I work and it has led to more prodcutivity,What has really helped is: Avoid working in areas with fluorescent strip lighting,I watched a film about: a mathematic genius,I would like to upgrade this app,10/1/2019,2361
Autistica - Adjustments,7,97777931,I don’t like cookies but my team keeps celebrating cookies,I ate less gluten which is harder than it sounds,Examples of good adjustments include: Fast response to malfunctioning equipment (e.g. flashing light),I read a newspaper article about: bad parenting,I would like to upgrade this app,10/1/2019,2362
Autistica - Adjustments,7,99713717,People start working too early in the morning and my request to start later was refused,I was able to use text instead of speech to interact in the meeting,What has really helped is: Avoiding open plan office,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be more research in to employment opportunities,10/1/2019,2363
Autistica - Adjustments,7,93466703,Communication is not happening the way I have requested,I ate less gluten which is harder than it sounds,I would like to have more of: Changing to part time work,I saw a story about a: difficulty in switching between tasks,Visualisations are nice,10/1/2019,2364
Autistica - Adjustments,7,37419497,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I worked in the quite room and that was very productive,"I have tried the following: Maintain consistent job roles, patters and working partners",I watched a film about: difficulty in switching between tasks,Not sure what to say,10/1/2019,2365
Autistica - Adjustments,7,35358065,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I was able to network well this week which I usually struggle with,I would like to have more of: Ear defenders,I saw a story about a: excellent autistic creativity,Not sure what to say,10/1/2019,2366
Autistica - Adjustments,7,86131995,I don’t like cookies but my team keeps celebrating cookies,I was praised by my coworkers but not my manager,I have tried the following: Flexibility to eat lunch separately from colleagues,I saw a story about a: bad parenting,I think there should be more research in to employment opportunities,10/1/2019,2367
Autistica - Adjustments,7,57180656,People start working too early in the morning and my request to start later was refused,I was successufl in extending my contract,I have requested this: Allocated parking space,I read a newspaper article about: excellent autistic creativity,I think there has been enough research on younger populations,10/1/2019,2368
Autistica - Adjustments,7,62929404,My manager often criticises me,I had a meeting with my boss to change the lighting and it was changed,Here are some things that have helped Avoiding physical contact if requested (e.g. no handshakes),I watched a film about: bad parenting,I think there should be more research in to employment opportunities,10/1/2019,2369
Autistica - Adjustments,7,30901982,Not sure what to say,I had a meeting with my boss to change the lighting and it was changed,Some things which I have tried are: A team culture of not eating lunch at desks,My friend told me about another friend who said that:  a mathematic genius,I think there should be better pathways to requesting adjustments,10/1/2019,2370
Autistica - Adjustments,7,93085379,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,My typing speed has increased a lot,I have tried the following: Repositioning of desk (e.g. in corner to avoid being startled),I watched a film about: superior focus,Visualisations are nice,10/1/2019,2371
Autistica - Adjustments,7,77431644,My manager sucks,I managed my anxiety before a big presentation better,I have requested this: Ear defenders,I watched a film about: superior focus,I think there should be more research in to employment opportunities,10/1/2019,2372
Autistica - Adjustments,7,67013133,I asked for instructions to be written down but they are still provided verbally,I was praised by my coworkers but not my manager,What has really helped is: Communication devices (e.g. a slider on desk to indicate when working from home).,I saw a story about a: low income and employment for autistic people,Visualisations are nice,10/1/2019,2373
Autistica - Adjustments,7,13838301,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I ate less gluten which is harder than it sounds,I have requested this: Remote working option,I watched a film about: bad parenting,Really enjoying this app,10/1/2019,2374
Autistica - Adjustments,7,66718298,I was reallocated a new desk even though I liked my old desk,I haven’t had any success,Some things which I have tried are: Minimise away days,I read a newspaper article about: low income and employment for autistic people,I would like to upgrade this app,10/1/2019,2375
Autistica - Adjustments,7,24641611,My manager sucks,I was able to use text instead of speech to interact in the meeting,What has really helped is: One questions at a time,I saw a story about a: low income and employment for autistic people,I'm finding this app sort of helpful,10/1/2019,2376
Autistica - Adjustments,7,67388864,I asked for instructions to be written down but they are still provided verbally,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have tried the following: Minimise away days,I watched a film about: low income and employment for autistic people,I'm finding this app sort of helpful,10/1/2019,2377
Autistica - Adjustments,7,25055544,I had to do training on fire and safety even though I completed three months ago,I changed the way I work and it has led to more prodcutivity,Here are some things that have helped Specifying clear action points in emails so that recipients understand what is being asked of them,I read a newspaper article about: a cyber hacker,I would like to upgrade this app,10/1/2019,2378
Autistica - Adjustments,7,24503298,I had to do training on fire and safety even though I completed three months ago,I enjoyed my work this week,What has really helped is: Frequent feedback,My friend told me about another friend who said that:  excellent autistic creativity,Really enjoying this app,10/1/2019,2379
Autistica - Adjustments,7,43928283,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I was able to network well this week which I usually struggle with,Examples of good adjustments include: Process for having concerns recorded and taken seriously,I read a newspaper article about: a mathematic genius,I can’t think of any right now,10/1/2019,2380
Autistica - Adjustments,7,19630284,I asked not to be moved to another team but this was rejected,I ate less gluten which is harder than it sounds,What has really helped is: Desk fan,I saw a story about a: superior focus,I'm finding this app sort of helpful,10/1/2019,2381
Autistica - Adjustments,7,87042105,I asked not to be moved to another team but this was rejected,I haven’t had any success,I would like to have more of: Remote working option,I saw a story about a: superior focus,Nope,10/1/2019,2382
Autistica - Adjustments,7,71593024,Every birthday my office buys me cake but I don't eat cake,I ate less gluten which is harder than it sounds,Some things which I have tried are: Written questions for job interviews and circulated ahead of time,My friend told me about another friend who said that:  low income and employment for autistic people,I would like to upgrade this app,10/1/2019,2383
Autistica - Adjustments,7,31866214,We had an overnight hackathon and there were not enough vegan options,I use dmy noise cancelling headphones really well,I have requested this: Fast response to malfunctioning equipment (e.g. flashing light),I watched a film about: a cyber hacker,I can’t think of any right now,10/1/2019,2384
Autistica - Adjustments,7,97162166,I asked for instructions to be written down but they are still provided verbally,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have requested this: A team culture of not eating lunch at desks,I watched a film about: a cyber hacker,I can’t think of any right now,10/1/2019,2385
Autistica - Adjustments,7,41273901,I'm always asked to shake hands of clients but I don’t like to touch other people,I taught my coworkers to use this app,I have requested this: Fast response to malfunctioning equipment (e.g. flashing light),My friend told me about another friend who said that:  excellent autistic creativity,I think there has been enough research on younger populations,10/1/2019,2386
Autistica - Adjustments,7,43440948,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have felt less depressed,Some things which I have tried are: Avoiding physical contact if requested (e.g. no handshakes),I saw a story about a: bad parenting,Not sure what to say,10/1/2019,2387
Autistica - Adjustments,7,77705205,My manager sucks,I was successufl in extending my contract,What has really helped is: Repositioning of desk (e.g. in corner to avoid being startled),My friend told me about another friend who said that:  a cyber hacker,I'm finding this app sort of helpful,10/1/2019,2388
Autistica - Adjustments,7,58358243,I asked not to be moved to another team but this was rejected,I had a meeting with my boss to change the lighting and it was changed,Some things which I have tried are: Colleagues refrain from wearing strong perfumes if asked,I read a newspaper article about: excellent autistic creativity,I would like to upgrade this app,10/1/2019,2389
Autistica - Adjustments,7,47815963,I was reallocated a new desk even though I liked my old desk,I changed the way I work and it has led to more prodcutivity,I've not had much success asking for the following: Allocated parking space,I read a newspaper article about: difficulty in switching between tasks,I think there has been enough research on younger populations,10/1/2019,2390
Autistica - Adjustments,7,69828639,I asked for instructions to be written down but they are still provided verbally,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have requested this: Blue screen filter for computer screen,My friend told me about another friend who said that:  excellent autistic creativity,I would like to upgrade this app,10/1/2019,2391
Autistica - Adjustments,7,38868666,Every birthday my office buys me cake but I don't eat cake,I was able to network well this week which I usually struggle with,What has really helped is: Written communication preference over verbal communication,I read a newspaper article about: excellent autistic creativity,I'm finding this app sort of helpful,10/1/2019,2392
Autistica - Adjustments,7,72888018,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was successful in factoring in enough time to arrive at meetings without feeling flushed,Examples of good adjustments include: Visual partitions of workspace (i.e. to minimise distraction and sound),I watched a film about: difficulty in switching between tasks,Really enjoying this app,10/1/2019,2393
Autistica - Adjustments,7,43522829,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I have successfully managed a team to complete a project,Here are some things that have helped Avoiding open plan office,My friend told me about another friend who said that:  difficulty in switching between tasks,Nope,10/1/2019,2394
Autistica - Adjustments,7,41811454,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I use dmy noise cancelling headphones really well,I would like to have more of: Ear defenders,I read a newspaper article about: superior focus,I think there should be more research in to employment opportunities,10/1/2019,2395
Autistica - Adjustments,7,40690745,I asked for deadlines but I was not given them. ,I was able to use text instead of speech to interact in the meeting,I have tried the following: Allocated parking space,I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,10/1/2019,2396
Autistica - Adjustments,7,25057429,Not sure what to say,I have felt less depressed,I have tried the following: Avoiding negative language in the workplace (e.g. autism as a tragedy).,I watched a film about: a mathematic genius,I think there has been enough research on younger populations,10/1/2019,2397
Autistica - Adjustments,7,39249976,I was reallocated a new desk even though I liked my old desk,I worked in the quite room and that was very productive,I have requested this: Ensuring all team members understand and respect adjustments in absence of manager,I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,10/1/2019,2398
Autistica - Adjustments,7,63410382,I had to do training on fire and safety even though I completed three months ago,It's so frustrating because I feel that I am close to success but it never really happens,Examples of good adjustments include: A team culture of quieter lunchtime conversations,I saw a story about a: bad parenting,Visualisations are nice,10/1/2019,2399
Autistica - Adjustments,7,61657100,I asked for instructions to be written down but they are still provided verbally,I worked in the quite room and that was very productive,Here are some things that have helped Allocated parking space,I read a newspaper article about: low income and employment for autistic people,Really enjoying this app,10/1/2019,2400
Autistica - Adjustments,7,22222222,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I have felt less depressed,I would like to have more of: Extra time meeting with managers,My friend told me about another friend who said that:  difficulty in switching between tasks,Visualisations are nice,10/14/2019,2401
Autistica - Adjustments,7,11111111,I don’t like cookies but my team keeps celebrating cookies,I feel really depressed that I have only been told that I have failed,I would like to have more of: Ear plugs,I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2402
Autistica - Adjustments,7,12077101,Not sure what to say,I had a meeting with my boss to change the lighting and it was changed,I've not had much success asking for the following: Avoiding negative language in the workplace (e.g. autism as a tragedy).,I saw a story about a: excellent autistic creativity,Nope,10/14/2019,2403
Autistica - Adjustments,7,38961843,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I was successful in meeting my deadlines,I have requested this: Using an internal advocate who can communicate on behalf of the employee,I read a newspaper article about: bad parenting,I can’t think of any right now,10/14/2019,2404
Autistica - Adjustments,7,67611589,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I have more confidence in meetings,"What has really helped is: Maintain consistent job roles, patters and working partners",I saw a story about a: excellent autistic creativity,I think there should be better pathways to requesting adjustments,10/14/2019,2405
Autistica - Adjustments,7,32500162,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have felt less depressed,Some things which I have tried are: Trialling workspace before starting,I watched a film about: low income and employment for autistic people,Not sure what to say,10/14/2019,2406
Autistica - Adjustments,7,90705766,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I ate less gluten which is harder than it sounds,Examples of good adjustments include: Frequent feedback,I read a newspaper article about: bad parenting,Nope,10/14/2019,2407
Autistica - Adjustments,7,46465154,Communication is not happening the way I have requested,I managed my anxiety before a big presentation better,I have tried the following: Maximise personal space where possible (e.g. spaced out seating in meetings),I read a newspaper article about: difficulty in switching between tasks,Nope,10/14/2019,2408
Autistica - Adjustments,7,36480781,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I enjoyed my work this week,Here are some things that have helped Training staff on neurodiversity and specific needs,I saw a story about a: bad parenting,Visualisations are nice,10/14/2019,2409
Autistica - Adjustments,7,86004302,My manager sucks,I worked in the quite room and that was very productive,Here are some things that have helped Ergonomic wrist rest and keyboard.,My friend told me about another friend who said that:  difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2410
Autistica - Adjustments,7,74046800,I don’t like socialising but it is compulsory to network as part of my job,I enjoyed my work this week,Some things which I have tried are: A team culture of not eating lunch at desks,I saw a story about a: difficulty in switching between tasks,Really enjoying this app,10/14/2019,2411
Autistica - Adjustments,7,67512682,My manager often criticises me,I use dmy noise cancelling headphones really well,Examples of good adjustments include: Noise-cancelling headphones,I saw a story about a: bad parenting,Really enjoying this app,10/14/2019,2412
Autistica - Adjustments,7,87436666,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,It's so frustrating because I feel that I am close to success but it never really happens,Examples of good adjustments include: Flexibility to wear comfortable clothing,My friend told me about another friend who said that:  bad parenting,I think there should be more research in to employment opportunities,10/14/2019,2413
Autistica - Adjustments,7,28755653,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was successful in factoring in enough time to arrive at meetings without feeling flushed,What has really helped is: Maximise personal space where possible (e.g. spaced out seating in meetings),I saw a story about a: excellent autistic creativity,I think there should be better pathways to requesting adjustments,10/14/2019,2414
Autistica - Adjustments,7,66722819,Communication is not happening the way I have requested,I was successufl in extending my contract,I have requested this: Site blocker software to avoid internet distractions,My friend told me about another friend who said that:  excellent autistic creativity,Visualisations are nice,10/14/2019,2415
Autistica - Adjustments,7,65438804,I asked for instructions to be written down but they are still provided verbally,I haven’t had any success,I've not had much success asking for the following: Tinted glasses (to minimise overpowering lights),I read a newspaper article about: a mathematic genius,I think there has been enough research on younger populations,10/14/2019,2416
Autistica - Adjustments,7,15938146,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I managed my anxiety before a big presentation better,I would like to have more of: Offering the option to refuse taking on more work (since some employees find it very difficult to say no),I saw a story about a: difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,10/14/2019,2417
Autistica - Adjustments,7,37603401,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I haven’t had any success,I would like to have more of: Flexi-time to avoid commuting in rush hour,I watched a film about: difficulty in switching between tasks,I think there has been enough research on younger populations,10/14/2019,2418
Autistica - Adjustments,7,23337145,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have tried the following: Site blocker software to avoid internet distractions,My friend told me about another friend who said that:  a cyber hacker,I think there should be more research in to employment opportunities,10/14/2019,2419
Autistica - Adjustments,7,99599196,My manager sucks,Not many successes to report unfortunately ,What has really helped is: Online accessible resources about getting up to speed in a new role,I saw a story about a: low income and employment for autistic people,Visualisations are nice,10/14/2019,2420
Autistica - Adjustments,7,25718877,Sometime people misread my facial expressions,It's so frustrating because I feel that I am close to success but it never really happens,Here are some things that have helped Access to other job opportunities within the company,I watched a film about: low income and employment for autistic people,I can’t think of any right now,10/14/2019,2421
Autistica - Adjustments,7,97909632,I don’t like cookies but my team keeps celebrating cookies,I have reduced the arguments I have with people,I've not had much success asking for the following: Avoiding unnecessary metaphorical and idiomatic language.,I read a newspaper article about: a cyber hacker,Really enjoying this app,10/14/2019,2422
Autistica - Adjustments,7,40268226,Communication is not happening the way I have requested,I was successful in meeting my deadlines,Here are some things that have helped Reduced overnight stays,I read a newspaper article about: superior focus,I can’t think of any right now,10/14/2019,2423
Autistica - Adjustments,7,63985686,I asked not to be moved to another team but this was rejected,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have tried the following: Frequent feedback,I watched a film about: bad parenting,I'm finding this app sort of helpful,10/14/2019,2424
Autistica - Adjustments,7,63237915,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I was able to network well this week which I usually struggle with,I have requested this: Training staff on neurodiversity and specific needs,My friend told me about another friend who said that:  low income and employment for autistic people,I'm finding this app sort of helpful,10/14/2019,2425
Autistica - Adjustments,7,50544037,I'm always asked to shake hands of clients but I don’t like to touch other people,I was successufl in extending my contract,I have tried the following: Changing to part time work,I watched a film about: superior focus,I can’t think of any right now,10/14/2019,2426
Autistica - Adjustments,7,14286843,I had to do training on fire and safety even though I completed three months ago,I was able to network well this week which I usually struggle with,I have tried the following: More patience and flexibility from colleagues regarding misunderstandings.,I read a newspaper article about: low income and employment for autistic people,I'm finding this app sort of helpful,10/14/2019,2427
Autistica - Adjustments,7,53175760,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I have more confidence in meetings,What has really helped is: Weekly plan with manager,I watched a film about: superior focus,I think there should be better pathways to requesting adjustments,10/14/2019,2428
Autistica - Adjustments,7,56361261,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Here are some things that have helped Handouts in advance of training/ presentations,I read a newspaper article about: superior focus,I think there has been enough research on younger populations,10/14/2019,2429
Autistica - Adjustments,7,66411825,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I haven’t had any success,Some things which I have tried are: Minimise away days,My friend told me about another friend who said that:  bad parenting,Visualisations are nice,10/14/2019,2430
Autistica - Adjustments,7,34060153,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was able to network well this week which I usually struggle with,I've not had much success asking for the following: Keeping promises,I saw a story about a: difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,10/14/2019,2431
Autistica - Adjustments,7,11168511,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I was able to network well this week which I usually struggle with,Here are some things that have helped More patience and flexibility from colleagues regarding misunderstandings.,My friend told me about another friend who said that:  difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2432
Autistica - Adjustments,7,85920205,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I had a meeting with my boss to change the lighting and it was changed,I have tried the following: Fast response to malfunctioning equipment (e.g. flashing light),I watched a film about: difficulty in switching between tasks,Really enjoying this app,10/14/2019,2433
Autistica - Adjustments,7,83766303,I had to do training on fire and safety even though I completed three months ago,I taught my coworkers to use this app,I would like to have more of: Handouts in advance of training/ presentations,I read a newspaper article about: a cyber hacker,I think there should be better pathways to requesting adjustments,10/14/2019,2434
Autistica - Adjustments,7,64793738,I don’t like cookies but my team keeps celebrating cookies,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Some things which I have tried are: Using an internal advocate who can communicate on behalf of the employee,My friend told me about another friend who said that:  bad parenting,Not sure what to say,10/14/2019,2435
Autistica - Adjustments,7,59096037,Not sure what to say,I have felt less depressed,"What has really helped is: Maintain consistent job roles, patters and working partners",I saw a story about a: superior focus,Nope,10/14/2019,2436
Autistica - Adjustments,7,77773077,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,My typing speed has increased a lot,I have tried the following: Ensuring all team members understand and respect adjustments in absence of manager,I watched a film about: low income and employment for autistic people,I think there has been enough research on younger populations,10/14/2019,2437
Autistica - Adjustments,7,47375033,Not sure what to say,I was able to use text instead of speech to interact in the meeting,I have tried the following: Process for having concerns recorded and taken seriously,I watched a film about: superior focus,I would like to upgrade this app,10/14/2019,2438
Autistica - Adjustments,7,39847852,We had an overnight hackathon and there were not enough vegan options,I was praised by my coworkers but not my manager,Some things which I have tried are: Online accessible resources about getting up to speed in a new role,My friend told me about another friend who said that:  bad parenting,Really enjoying this app,10/14/2019,2439
Autistica - Adjustments,7,68971632,I asked not to be moved to another team but this was rejected,I changed the way I work and it has led to more prodcutivity,I have requested this: Ergonomic chair,My friend told me about another friend who said that:  a cyber hacker,I can’t think of any right now,10/14/2019,2440
Autistica - Adjustments,7,22090963,Every birthday my office buys me cake but I don't eat cake,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have requested this: Small desk lap (since main lamp to bright),I watched a film about: excellent autistic creativity,Visualisations are nice,10/14/2019,2441
Autistica - Adjustments,7,60377624,People start working too early in the morning and my request to start later was refused,I taught my coworkers to use this app,Some things which I have tried are: Avoiding open plan office,I watched a film about: bad parenting,Really enjoying this app,10/14/2019,2442
Autistica - Adjustments,7,30738880,I had to do training on fire and safety even though I completed three months ago,I feel really depressed that I have only been told that I have failed,I have requested this: Explicit communication (e.g. written instructions rather than verbal),I watched a film about: difficulty in switching between tasks,Visualisations are nice,10/14/2019,2443
Autistica - Adjustments,7,86589369,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I worked in the quite room and that was very productive,I would like to have more of: Designated quiet space,I watched a film about: difficulty in switching between tasks,Not sure what to say,10/14/2019,2444
Autistica - Adjustments,7,66155821,We had an overnight hackathon and there were not enough vegan options,I feel really depressed that I have only been told that I have failed,Examples of good adjustments include: Avoiding physical contact if requested (e.g. no handshakes),My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be more research in to employment opportunities,10/14/2019,2445
Autistica - Adjustments,7,61677296,I don’t like socialising but it is compulsory to network as part of my job,My typing speed has increased a lot,I have requested this: Ear defenders,I watched a film about: superior focus,I can’t think of any right now,10/14/2019,2446
Autistica - Adjustments,7,56419454,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Here are some things that have helped Consistent job duties,I saw a story about a: a mathematic genius,Not sure what to say,10/14/2019,2447
Autistica - Adjustments,7,86397034,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was able to network well this week which I usually struggle with,"I have tried the following: Maintain consistent job roles, patters and working partners",I read a newspaper article about: a cyber hacker,I think there has been enough research on younger populations,10/14/2019,2448
Autistica - Adjustments,7,41455969,I'm always asked to shake hands of clients but I don’t like to touch other people,I have felt less depressed,"I would like to have more of: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I read a newspaper article about: bad parenting,I can’t think of any right now,10/14/2019,2449
Autistica - Adjustments,7,23394144,We had an overnight hackathon and there were not enough vegan options,I was able to network well this week which I usually struggle with,I have tried the following: Minimise meeting attendance,My friend told me about another friend who said that:  bad parenting,Nope,10/14/2019,2450
Autistica - Adjustments,7,21326904,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I have reduced the arguments I have with people,What has really helped is: A team culture of not eating lunch at desks,My friend told me about another friend who said that:  bad parenting,Nope,10/14/2019,2451
Autistica - Adjustments,7,44980497,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I was praised by my coworkers but not my manager,I have tried the following: Set hours for responding to emails,I saw a story about a: low income and employment for autistic people,Nope,10/14/2019,2452
Autistica - Adjustments,7,38982647,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I feel really depressed that I have only been told that I have failed,I have tried the following: Ear defenders,I watched a film about: a mathematic genius,I think there has been enough research on younger populations,10/14/2019,2453
Autistica - Adjustments,7,80484260,My manager often criticises me,I taught my coworkers to use this app,Some things which I have tried are: Changing to part time work,I saw a story about a: a mathematic genius,Nope,10/14/2019,2454
Autistica - Adjustments,7,24052776,I asked not to be moved to another team but this was rejected,I have more confidence in meetings,Here are some things that have helped More patience and flexibility from colleagues regarding misunderstandings.,I saw a story about a: low income and employment for autistic people,I'm finding this app sort of helpful,10/14/2019,2455
Autistica - Adjustments,7,70538701,Not sure what to say,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,What has really helped is: Avoiding unnecessary metaphorical and idiomatic language.,I watched a film about: a cyber hacker,Not sure what to say,10/14/2019,2456
Autistica - Adjustments,7,89804580,I don’t like cookies but my team keeps celebrating cookies,I was successful in meeting my deadlines,Some things which I have tried are: Process for having concerns recorded and taken seriously,I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2457
Autistica - Adjustments,7,17191527,My manager often criticises me,I changed jobs and used this app to transfer my reasonable adjustments ,What has really helped is: Colleagues refrain from wearing strong perfumes if asked,I saw a story about a: difficulty in switching between tasks,I can’t think of any right now,10/14/2019,2458
Autistica - Adjustments,7,12248148,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I ate less gluten which is harder than it sounds,I have requested this: Ergonomic wrist rest and keyboard.,I read a newspaper article about: bad parenting,I think there should be more research in to employment opportunities,10/14/2019,2459
Autistica - Adjustments,7,14567809,I was reallocated a new desk even though I liked my old desk,I enjoyed my work this week,I would like to have more of: Specifying clear action points in emails so that recipients understand what is being asked of them,I watched a film about: difficulty in switching between tasks,Not sure what to say,10/14/2019,2460
Autistica - Adjustments,7,53779464,I had to do training on fire and safety even though I completed three months ago,I enjoyed my work this week,I've not had much success asking for the following: Colleagues refrain from wearing strong perfumes if asked,I watched a film about: excellent autistic creativity,I can’t think of any right now,10/14/2019,2461
Autistica - Adjustments,7,97777931,I was reallocated a new desk even though I liked my old desk,I ate less gluten which is harder than it sounds,Examples of good adjustments include: A team culture of not eating lunch at desks,I watched a film about: a cyber hacker,I would like to upgrade this app,10/14/2019,2462
Autistica - Adjustments,7,99713717,I asked for deadlines but I was not given them. ,I have more confidence in meetings,Examples of good adjustments include: One questions at a time,I read a newspaper article about: excellent autistic creativity,Visualisations are nice,10/14/2019,2463
Autistica - Adjustments,7,93466703,We had an overnight hackathon and there were not enough vegan options,I have successfully managed a team to complete a project,I've not had much success asking for the following: Flexibility to wear comfortable clothing,I saw a story about a: bad parenting,Nope,10/14/2019,2464
Autistica - Adjustments,7,37419497,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I enjoyed my work this week,I have requested this: Ergonomic chair,I watched a film about: bad parenting,Not sure what to say,10/14/2019,2465
Autistica - Adjustments,7,35358065,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,Not many successes to report unfortunately ,I have requested this: Flexible deadlines,I read a newspaper article about: bad parenting,Not sure what to say,10/14/2019,2466
Autistica - Adjustments,7,86131995,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I was successful in factoring in enough time to arrive at meetings without feeling flushed,Some things which I have tried are: Working near familiar and understanding colleagues,I read a newspaper article about: a mathematic genius,I think there should be more research in to employment opportunities,10/14/2019,2467
Autistica - Adjustments,7,57180656,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I was able to use text instead of speech to interact in the meeting,I've not had much success asking for the following: Access to senior mentoring,I saw a story about a: difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2468
Autistica - Adjustments,7,62929404,Every birthday my office buys me cake but I don't eat cake,I was successufl in extending my contract,I've not had much success asking for the following: Minimise meeting attendance,I read a newspaper article about: a mathematic genius,Visualisations are nice,10/14/2019,2469
Autistica - Adjustments,7,30901982,Every birthday my office buys me cake but I don't eat cake,I was successful in meeting my deadlines,I would like to have more of: Flexibility to wear comfortable clothing,I saw a story about a: difficulty in switching between tasks,I would like to upgrade this app,10/14/2019,2470
